FIPS,State abbrev,State,Grades,Enrollment type,School Year 2019-20,School Year 2020-2021,School Year 2021-22,Total change,Percent change,Notes
12,FL,Florida,Kindergarten to 12th grade,Homeschool enrollment,106115,143431,152109,45994,43.34354238,
12,FL,Florida,Kindergarten to 12th grade,Private enrollment,352821,331572,374962,22141,6.275420114,
12,FL,Florida,Kindergarten to 12th grade,Public school enrollment,2792884,2741297,2774130,-18754,-0.671492264,
12,FL,Florida,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),458936,475003,527071,68135,14.84629665,
13,GA,Georgia,Kindergarten to 12th grade,Homeschool enrollment,77993,86268,91142,13149,16.85920531,
13,GA,Georgia,Kindergarten to 12th grade,Private enrollment,98638,97240,100246,1608,1.63020337,
13,GA,Georgia,Kindergarten to 12th grade,Public school enrollment,1719609,1686367,1694034,-25575,-1.487256696,
13,GA,Georgia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),176631,183508,191388,14757,8.354705573,
15,HI,Hawaii,Kindergarten to 12th grade,Homeschool enrollment,3303,6232,5309,2006,60.73266727,Only includes homeschool students newly acknowledged by school
15,HI,Hawaii,Kindergarten to 12th grade,Private enrollment,30492,30016,31018,526,1.725042634,
15,HI,Hawaii,Kindergarten to 12th grade,Public school enrollment,179331,174704,171600,-7731,-4.311022634,
15,HI,Hawaii,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),33795,36248,36327,2532,7.492232579,
16,ID,Idaho,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
16,ID,Idaho,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
16,ID,Idaho,Kindergarten to 12th grade,Public school enrollment,307412,304337,310737,3325,1.081610347,
16,ID,Idaho,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
17,IL,Illinois,Preschool to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
17,IL,Illinois,Preschool to 12th grade,Private enrollment,193574,176944,190123,-3451,-1.782780745,
17,IL,Illinois,Kindergarten to 12th grade,Public school enrollment,1865886,1823359,1797260,-68626,-3.67793102,
17,IL,Illinois,Preschool to 12th grade,Total nonpublic enrollment (private + homeschool),193574,176944,190123,-3451,-1.782780745,
18,IN,Indiana,Kindergarten to 12th grade,Homeschool enrollment,11909,20888,NA,NA,NA,Only includes students withdrawing from public school that year
18,IN,Indiana,Kindergarten to 12th grade,Private enrollment,76976,73329,76360,-616,-0.800249428,
18,IN,Indiana,Kindergarten to 12th grade,Public school enrollment,1030417,1017039,1015440,-14977,-1.453489218,
18,IN,Indiana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),88885,94217,76360,-12525,-14.09124149,
19,IA,Iowa,Kindergarten to 12th grade,Homeschool enrollment,7188,8831,7707,519,7.220367279,Only includes homeschool students involved with the district somehow (e.g. take state standardized tests)
19,IA,Iowa,Kindergarten to 12th grade,Private enrollment,32887,30729,33304,417,1.267978228,
19,IA,Iowa,Kindergarten to 12th grade,Public school enrollment,485856,479264,481250,-4606,-0.94801752,
19,IA,Iowa,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),40075,39560,41011,936,2.335620711,
20,KS,Kansas,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
20,KS,Kansas,Kindergarten to 12th grade,Private enrollment,26516,25786,26346,-170,-0.641122341,
20,KS,Kansas,Kindergarten to 12th grade,Public school enrollment,474404,462239,462879,-11525,-2.429364002,
20,KS,Kansas,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),26516,25786,26346,-170,-0.641122341,
21,KY,Kentucky,Kindergarten to 12th grade,Homeschool enrollment,24528,27013,35233,10705,43.6439987,
21,KY,Kentucky,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
21,KY,Kentucky,Kindergarten to 12th grade,Public school enrollment,659919,638551,631019,-28900,-4.379325341,
21,KY,Kentucky,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),24528,27013,35233,10705,43.6439987,
22,LA,Louisiana,Kindergarten to 12th grade,Homeschool enrollment,31650,33221,35222,3572,11.28593997,Interpret with caution (see ReadMe note)
22,LA,Louisiana,Kindergarten to 12th grade,Private enrollment,110742,104925,107489,-3253,-2.937458236,Interpret with caution (see ReadMe note)
22,LA,Louisiana,Kindergarten to 12th grade,Public school enrollment,683454,669959,658407,-25047,-3.66476749,
22,LA,Louisiana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),142392,138146,142711,319,0.22402944,
23,ME,Maine,Kindergarten to 12th grade,Homeschool enrollment,6774,12044,10871,4097,60.48125185,
23,ME,Maine,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
23,ME,Maine,Kindergarten to 12th grade,Public school enrollment,174136,167728,167624,-6512,-3.739605825,
23,ME,Maine,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),6774,12044,10871,4097,60.48125185,
24,MD,Maryland,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
24,MD,Maryland,Kindergarten to 12th grade,Private enrollment,95423,98180,97900,2477,2.595810234,
24,MD,Maryland,Kindergarten to 12th grade,Public school enrollment,877201,858911,853694,-23507,-2.679773507,
24,MD,Maryland,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),95423,98180,97900,2477,2.595810234,
25,MA,Massachusetts,Kindergarten to 12th grade,Homeschool enrollment,7802,17127,13090,5288,67.77749295,
25,MA,Massachusetts,Kindergarten to 12th grade,Private enrollment,61610,71734,72450,10840,17.59454634,
25,MA,Massachusetts,Kindergarten to 12th grade,Public school enrollment,928657,900430,893364,-35293,-3.800434391,
25,MA,Massachusetts,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),69412,88861,85540,16128,23.23517547,
26,MI,Michigan,Kindergarten to 12th grade,Homeschool enrollment,581,1487,717,136,23.40791738,"Homeschool registration not required, numbers are likely a large undercount."
26,MI,Michigan,Kindergarten to 12th grade,Private enrollment,92426,88961,90976,-1450,-1.568822626,
26,MI,Michigan,Kindergarten to 12th grade,Public school enrollment,1448311,1402284,1396620,-51691,-3.569053884,
26,MI,Michigan,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),93007,90448,91693,-1314,-1.412796886,
27,MN,Minnesota,Kindergarten to 12th grade,Homeschool enrollment,20701,30955,27801,7100,34.29786001,
27,MN,Minnesota,Kindergarten to 12th grade,Private enrollment,65657,66138,69971,4314,6.57051038,
27,MN,Minnesota,Kindergarten to 12th grade,Public school enrollment,867999,850765,848619,-19380,-2.232721466,
27,MN,Minnesota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),86358,97093,97772,11414,13.21707311,
28,MS,Mississippi,Kindergarten to 12th grade,Homeschool enrollment,18798,25780,23362,4564,24.27917864,
28,MS,Mississippi,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
28,MS,Mississippi,Kindergarten to 12th grade,Public school enrollment,458841,436614,434401,-24440,-5.326463851,
28,MS,Mississippi,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),18798,25780,23362,4564,24.27917864,
29,MO,Missouri,Kindergarten to 12th grade,Homeschool enrollment,6708,13785,9177,2469,36.80679785,
29,MO,Missouri,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
29,MO,Missouri,Kindergarten to 12th grade,Public school enrollment,876357,855198,858017,-18340,-2.092754437,
29,MO,Missouri,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),6708,13785,9177,2469,36.80679785,
30,MT,Montana,Kindergarten to 12th grade,Homeschool enrollment,5815,9868,7368,1553,26.70679278,
30,MT,Montana,Kindergarten to 12th grade,Private enrollment,7845,7600,8634,789,10.05736138,
30,MT,Montana,Kindergarten to 12th grade,Public school enrollment,148009,144685,148624,615,0.415515273,
30,MT,Montana,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),13660,17468,16002,2342,17.14494876,
31,NE,Nebraska,Kindergarten to 12th grade,Homeschool enrollment,9452,14780,13765,4313,45.63055438,
31,NE,Nebraska,Kindergarten to 12th grade,Private enrollment,33725,32316,33028,-697,-2.066716086,
31,NE,Nebraska,Kindergarten to 12th grade,Public school enrollment,310523,306911,308505,-2018,-0.649871346,
31,NE,Nebraska,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),43177,47096,46793,3616,8.374829191,
32,NV,Nevada,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
32,NV,Nevada,Kindergarten to 12th grade,Private enrollment,19325,19427,20893,1568,8.113842173,
32,NV,Nevada,Kindergarten to 12th grade,Public school enrollment,484890,472949,475855,-9035,-1.863309204,
32,NV,Nevada,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),19325,19427,20893,1568,8.113842173,
33,NH,New Hampshire,Kindergarten to 12th grade,Homeschool enrollment,2955,6110,4185,1230,41.62436548,
33,NH,New Hampshire,Kindergarten to 12th grade,Private enrollment,14426,14980,15926,1500,10.39789269,
33,NH,New Hampshire,Kindergarten to 12th grade,Public school enrollment,172779,166015,166095,-6684,-3.868525689,
33,NH,New Hampshire,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),17381,21090,20111,2730,15.70680628,
34,NJ,New Jersey,Kindergarten to 12th grade,Homeschool enrollment,1786,7210,7755,5969,334.2105263,Data only includes students who left the public school system that school year.
34,NJ,New Jersey,Kindergarten to 12th grade,Private enrollment,148678,148215,152311,3633,2.443535695,
34,NJ,New Jersey,Kindergarten to 12th grade,Public school enrollment,1343638,1317397,1306871,-36767,-2.736376911,
34,NJ,New Jersey,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),150464,155425,160066,9602,6.381592939,
35,NM,New Mexico,Kindergarten to 12th grade,Homeschool enrollment,9774,15645,11522,1748,17.88418253,Interpret with caution (see ReadMe note)
35,NM,New Mexico,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
35,NM,New Mexico,Kindergarten to 12th grade,Public school enrollment,320719,308467,307505,-13214,-4.120117611,
35,NM,New Mexico,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),9774,15645,11522,1748,17.88418253,
36,NY,New York,Kindergarten to 12th grade,Homeschool enrollment,33013,52052,54414,21401,64.82597765,
36,NY,New York,Kindergarten to 12th grade,Private enrollment,390779,382644,382510,-8269,-2.116029776,
36,NY,New York,Kindergarten to 12th grade,Public school enrollment,2615760,2545847,2483362,-132398,-5.061549989,
36,NY,New York,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),423792,434696,436924,13132,3.098689923,
37,NC,North Carolina,Kindergarten to 12th grade,Homeschool enrollment,149173,179900,160528,11355,7.611967313,
37,NC,North Carolina,Kindergarten to 12th grade,Private enrollment,103959,107341,115311,11352,10.91968949,
37,NC,North Carolina,Kindergarten to 12th grade,Public school enrollment,1536154,1493730,1502068,-34086,-2.218918155,
37,NC,North Carolina,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),253132,287241,275839,22707,8.970418596,
38,ND,North Dakota,Kindergarten to 12th grade,Homeschool enrollment,3443,4657,4247,804,23.35172814,
38,ND,North Dakota,Kindergarten to 12th grade,Private enrollment,8353,8296,8463,110,1.316892135,
38,ND,North Dakota,Kindergarten to 12th grade,Public school enrollment,113056,112173,114027,971,0.858866402,
38,ND,North Dakota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),11796,12953,12710,914,7.748389285,
39,OH,Ohio,Kindergarten to 12th grade,Homeschool enrollment,33328,51502,NA,NA,NA,
39,OH,Ohio,Kindergarten to 12th grade,Private enrollment,166189,162917,167395,1206,0.725679798,
39,OH,Ohio,Kindergarten to 12th grade,Public school enrollment,1647478,1615166,1612524,-34954,-2.121667179,
39,OH,Ohio,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),199517,214419,167395,-32122,-16.09988121,
40,OK,Oklahoma,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
40,OK,Oklahoma,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
40,OK,Oklahoma,Kindergarten to 12th grade,Public school enrollment,661816,656951,660660,-1156,-0.174670906,
40,OK,Oklahoma,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
41,OR,Oregon,Kindergarten to 12th grade,Homeschool enrollment,17971,30969,29162,11191,62.27255022,
41,OR,Oregon,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
41,OR,Oregon,Kindergarten to 12th grade,Public school enrollment,582661,560917,553012,-29649,-5.088550632,
41,OR,Oregon,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),17971,30969,29162,11191,62.27255022,
42,PA,Pennsylvania,Kindergarten to 12th grade,Homeschool enrollment,25979,41483,39847,13868,53.38157743,
42,PA,Pennsylvania,Kindergarten to 12th grade,Private enrollment,199227,203322,211201,11974,6.010229537,
42,PA,Pennsylvania,Kindergarten to 12th grade,Public school enrollment,1716712,1690712,1684018,-32694,-1.904454562,
42,PA,Pennsylvania,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),225206,244805,251048,25842,11.47482749,
44,RI,Rhode Island,Kindergarten to 12th grade,Homeschool enrollment,1931,3391,3181,1250,64.73329881,
44,RI,Rhode Island,Kindergarten to 12th grade,Private enrollment,11167,8053,14727,3560,31.87964538,
44,RI,Rhode Island,Kindergarten to 12th grade,Public school enrollment,140549,136908,135732,-4817,-3.427274474,
44,RI,Rhode Island,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),13098,11444,17908,4810,36.72316384,
45,SC,South Carolina,Kindergarten to 12th grade,Homeschool enrollment,20611,29927,30474,9863,47.85308816,
45,SC,South Carolina,Kindergarten to 12th grade,Private enrollment,36703,33492,37311,608,1.656540337,
45,SC,South Carolina,Kindergarten to 12th grade,Public school enrollment,758809,745817,755629,-3180,-0.419077792,
45,SC,South Carolina,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),57314,63419,67785,10471,18.26953275,
46,SD,South Dakota,Kindergarten to 12th grade,Homeschool enrollment,5342,6698,8187,2845,53.25720704,
46,SD,South Dakota,Kindergarten to 12th grade,Private enrollment,15468,14547,14531,-937,-6.057667442,
46,SD,South Dakota,Kindergarten to 12th grade,Public school enrollment,136637,136390,137943,1306,0.955817238,
46,SD,South Dakota,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),20810,21245,22718,1908,9.168668909,
47,TN,Tennessee,Kindergarten to 12th grade,Homeschool enrollment,11395,17078,13642,2247,19.71917508,
47,TN,Tennessee,Kindergarten to 12th grade,Private enrollment,79590,87360,98452,18862,23.69895716,
47,TN,Tennessee,Kindergarten to 12th grade,Public school enrollment,981321,958749,967278,-14043,-1.431030213,
47,TN,Tennessee,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),90985,104438,112094,21109,23.20052756,
48,TX,Texas,Kindergarten to 12th grade,Homeschool enrollment,NA,29846,NA,NA,NA,Only includes students who left for homeschool that school year.
48,TX,Texas,Kindergarten to 12th grade,Private enrollment,235590,NA,268752,33162,14.07614924,
48,TX,Texas,Kindergarten to 12th grade,Public school enrollment,5220228,5154686,5183478,-36750,-0.703992239,
48,TX,Texas,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),235590,29846,268752,33162,14.07614924,
49,UT,Utah,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
49,UT,Utah,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
49,UT,Utah,Kindergarten to 12th grade,Public school enrollment,667947,666563,674892,6945,1.039753154,
49,UT,Utah,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),NA,NA,NA,NA,NA,
50,VT,Vermont,Kindergarten to 12th grade,Homeschool enrollment,2588,5504,4174,1586,61.28284389,
50,VT,Vermont,Kindergarten to 12th grade,Private enrollment,NA,8616,8966,NA,NA,
50,VT,Vermont,Kindergarten to 12th grade,Public school enrollment,78087,75715,76415,-1672,-2.14120148,
50,VT,Vermont,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),2588,14120,13140,NA,NA,
51,VA,Virginia,Kindergarten to 12th grade,Homeschool enrollment,38282,59638,55749,17467,45.62718771,Data does not count students who have religious exemption from school.
51,VA,Virginia,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
51,VA,Virginia,Kindergarten to 12th grade,Public school enrollment,1262591,1223612,1218369,-44222,-3.502480217,
51,VA,Virginia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),38282,59638,55749,17467,45.62718771,
53,WA,Washington,Kindergarten to 12th grade,Homeschool enrollment,20844,39843,32056,11212,53.79005949,
53,WA,Washington,Kindergarten to 12th grade,Private enrollment,73608,74856,88058,14450,19.63101837,
53,WA,Washington,Kindergarten to 12th grade,Public school enrollment,1107745,1069970,1070302,-37443,-3.380110043,
53,WA,Washington,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),94452,114699,120114,25662,27.16935586,
54,WV,West Virginia,Kindergarten to 12th grade,Homeschool enrollment,NA,NA,NA,NA,NA,
54,WV,West Virginia,Kindergarten to 12th grade,Private enrollment,11248,11241,11769,521,4.631934566,
54,WV,West Virginia,Kindergarten to 12th grade,Public school enrollment,246803,241079,238404,-8399,-3.403119087,
54,WV,West Virginia,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),11248,11241,11769,521,4.631934566,
55,WI,Wisconsin,Kindergarten to 12th grade,Homeschool enrollment,21644,31878,29402,7758,35.84365182,
55,WI,Wisconsin,Kindergarten to 12th grade,Private enrollment,114752,114508,116969,2217,1.931992471,
55,WI,Wisconsin,Kindergarten to 12th grade,Public school enrollment,799062,782940,778151,-20911,-2.616943366,
55,WI,Wisconsin,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),136396,146386,146371,9975,7.313264319,
56,WY,Wyoming,Kindergarten to 12th grade,Homeschool enrollment,2585,3884,3475,890,34.42940039,
56,WY,Wyoming,Kindergarten to 12th grade,Private enrollment,NA,NA,NA,NA,NA,
56,WY,Wyoming,Kindergarten to 12th grade,Public school enrollment,94214,92099,92329,-1885,-2.000764218,
56,WY,Wyoming,Kindergarten to 12th grade,Total nonpublic enrollment (private + homeschool),2585,3884,3475,890,34.42940039,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
